"","nombre","categoryName","address","location.lat","location.lng","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","day"
"72","Elio Cooperative MARKET","Market","Roberto Thorndike Galup 1423, Cercado de Lima 15081, Peru",-12.0555109,-77.068861,NA,NA,NA,NA,NA,0,1,5,16,27,33,30,22,15,10,7,4,2,1,0,0,0,0,NA,"Tu"
"73","Future Market Peru","Flea market","Av Carabayllo, Lima 15311, Peru",-11.957948,-77.058859,NA,NA,NA,NA,0,10,32,50,46,52,72,74,54,34,26,21,13,0,0,0,0,0,NA,NA,"Tu"
"74","Gran Mercado Conzac","Shopping mall","Av. Angélica Gamarra 850, Cercado de Lima 15302, Peru",-12.0056994,-77.0714531,NA,NA,NA,0,3,8,15,25,35,43,46,44,37,30,26,27,31,33,29,21,2,NA,NA,NA,"Tu"
"75","Grumete Salamanca Market","Market","Calle Benjamín Franklin 620, Distrito de Lima 15022, Distrito de Lima 15022, Peru",-12.0670714,-76.9753465,NA,NA,NA,NA,NA,0,16,32,48,58,58,50,40,32,29,28,28,0,0,0,0,0,0,NA,"Tu"
"76","José Carlos Mariategui market","Market","Av José Carlos Mariategui 32, Lima 15412, Peru",-11.9680011,-77.0108485,NA,NA,NA,NA,0,6,13,23,34,42,44,39,29,21,18,19,24,22,0,0,0,0,NA,NA,"Tu"
"77","jueves Mercado Mirones","Market","Mariano Angulo 2421, Cercado de Lima 15081, Peru",-12.0372318,-77.0724978,NA,NA,NA,NA,0,6,12,22,32,40,48,50,42,30,21,17,15,11,7,0,0,0,NA,NA,"Tu"
"78","Market First of June","Market","Av. Alejandro Bertello 800, Cercado de Lima 15088, Peru",-12.0634113,-77.0708737,NA,NA,NA,NA,NA,0,0,31,54,68,73,78,83,80,66,46,28,14,0,0,0,0,0,NA,"Tu"
"79","Market October 9","Market","A Gomez, Cercado de Lima 15079, Peru",-12.0376207,-77.0604926,NA,NA,NA,NA,NA,0,0,50,77,54,40,50,63,63,54,40,31,0,0,0,0,0,0,NA,"Tu"
"80","Market san gabriel","Market","Azulejos 420, Distrito de Lima 15434, Peru",-11.9908396,-77.0029811,NA,NA,NA,NA,0,4,19,38,46,43,49,56,47,34,30,34,36,35,30,24,0,0,NA,NA,"Tu"
"81","Market Santa Rosa","Market","Jirón Amazonas, San Martín de Porres 15106, Peru",-12.0363012,-77.0886102,NA,NA,NA,NA,NA,0,2,2,26,57,63,48,39,41,44,42,35,0,0,0,0,0,0,NA,"Tu"
