nombre,categoryName,address,location.lat,location.lng,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,day
Town and Country Market,Market,"Santos Chocano Agullar 174, Rímac 15094, Peru",-12.0251687,-77.0284697,NA,NA,NA,NA,0,1,7,18,33,45,48,41,29,21,18,16,14,10,0,0,0,0,NA,NA,Mo
Al Mercado San Carlos,Produce market,"Av. El Sol 437, Cercado de Lima 15094, Peru",-11.9846303,-77.0059294,NA,NA,NA,NA,0,1,8,20,36,52,64,67,61,49,38,37,50,62,54,28,0,0,NA,NA,Tu
Brena market,Market,"Jr. Restauración, Cercado de Lima 15083, Peru",-12.064933,-77.0479141,NA,NA,NA,NA,NA,0,0,22,37,47,50,47,43,37,31,25,20,0,0,0,0,0,0,NA,Tu
Cachina 12,Market,"calle bongara S/N Av Canto Grande PRD. 12 San Juan de Lurigancho Gobierno Regional de Lima LIMA, 36, Peru",-11.9647692,-77.0023254,NA,NA,NA,NA,NA,0,0,0,8,17,25,27,26,27,29,28,22,0,0,0,0,0,0,NA,Tu
"Centro Comercial ""COVIDA""",Market,"Av. c/ Calle 15301 Perú, Daniel Hernandez, Lima, Peru",-11.9945527,-77.0767379,NA,NA,NA,NA,NA,0,11,25,42,60,72,76,69,58,55,64,84,100,98,79,51,0,0,NA,Tu
Eduardo Mercado Chachi Divos,Market,"Lima District 15096, Peru",-12.0174017,-77.0272044,NA,NA,NA,NA,NA,0,0,12,24,38,50,57,55,46,34,27,32,53,79,92,81,53,0,NA,Tu
Elio Cooperative MARKET,Market,"Roberto Thorndike Galup 1423, Cercado de Lima 15081, Peru",-12.0555109,-77.068861,NA,NA,NA,NA,NA,0,1,5,16,27,33,30,22,15,10,7,4,2,1,0,0,0,0,NA,Tu
Future Market Peru,Flea market,"Av Carabayllo, Lima 15311, Peru",-11.957948,-77.058859,NA,NA,NA,NA,0,10,32,50,46,52,72,74,54,34,26,21,13,0,0,0,0,0,NA,NA,Tu
Gran Mercado Conzac,Shopping mall,"Av. Angélica Gamarra 850, Cercado de Lima 15302, Peru",-12.0056994,-77.0714531,NA,NA,NA,0,3,8,15,25,35,43,46,44,37,30,26,27,31,33,29,21,11,NA,NA,NA,Tu
Grumete Salamanca Market,Market,"Calle Benjamín Franklin 620, Cercado de Lima 15022, Peru",-12.0670714,-76.9753465,NA,NA,NA,NA,NA,0,16,32,48,58,58,50,40,32,29,28,28,0,0,0,0,0,0,NA,Tu
José Carlos Mariategui market,Market,"Av José Carlos Mariategui 32, Lima 15412, Peru",-11.9680011,-77.0108485,NA,NA,NA,NA,0,6,13,23,34,42,44,39,29,21,18,19,24,22,0,0,0,0,NA,NA,Tu
jueves Mercado Mirones,Market,"Mariano Angulo 2421, Cercado de Lima 15081, Peru",-12.0372318,-77.0724978,NA,NA,NA,NA,0,6,12,22,32,40,48,50,42,30,21,17,15,11,7,0,0,0,NA,NA,Tu
Market First of June,Market,"Av. Alejandro Bertello 800, Cercado de Lima 15088, Peru",-12.0634113,-77.0708737,NA,NA,NA,NA,NA,0,0,31,54,68,73,78,83,80,66,46,28,14,0,0,0,0,0,NA,Tu
Market October 9,Market,"A Gomez, Cercado de Lima 15079, Peru",-12.0376207,-77.0604926,NA,NA,NA,NA,NA,0,0,50,77,54,40,50,63,63,54,40,31,0,0,0,0,0,0,NA,Tu
Market san gabriel,Market,"Azulejos 420, Distrito de Lima 15434, Peru",-11.9908396,-77.0029811,NA,NA,NA,NA,0,4,19,38,46,43,49,56,47,34,30,34,36,35,30,24,0,0,NA,NA,Tu
Market Santa Rosa,Market,"Jirón Amazonas, San Martín de Porres 15106, Peru",-12.0363012,-77.0886102,NA,NA,NA,NA,NA,0,2,2,26,57,63,48,39,41,44,42,35,0,0,0,0,0,0,NA,Tu
Market The Hermit,Market,"Lima District 15333, Peru",-11.9971997,-77.0528444,NA,NA,NA,NA,0,0,7,20,38,53,58,49,35,23,18,18,18,15,10,5,0,0,NA,NA,Tu
"Mercado ""La Merced""",Market,"Avenida Emancipación, Cercado de Lima 15001, Peru",-12.0455791,-77.0391687,NA,NA,NA,NA,0,5,11,22,35,50,60,62,57,44,30,19,21,54,72,35,0,0,NA,NA,Tu
Mercado Artesanal,Market,"Calle Gral. Suárez 315, Cercado de Lima 15074, Peru",-12.117468,-77.0279299,0,0,0,0,0,0,1,4,18,42,66,75,64,53,54,65,71,65,49,29,13,4,0,1,Tu
Mercado Artesanal San Borja,Market,"Av San Luis 1873, Lima 15021, Peru",-12.0855981,-76.9966405,NA,NA,NA,NA,NA,0,3,16,29,34,40,49,52,43,29,26,47,71,63,29,0,0,0,NA,Tu
Mercado Belen,Market,"Av Lima 2481, Cercado de Lima 15101, Peru",-12.0295233,-77.0718085,NA,NA,NA,NA,0,7,7,14,21,28,28,28,35,35,35,35,21,0,0,0,0,0,NA,NA,Tu
Mercado Bolivar Pueblo Libre,Market,"Jirón Mariano Pastor Sevilla 287-129, Cercado de Lima 15084, Peru",-12.0733048,-77.0656046,NA,NA,NA,NA,NA,0,7,19,34,48,60,65,59,45,33,25,19,13,0,0,0,0,0,NA,Tu
Mercado Buenos Aires,Market,"Prol. Lucanas 283, Cercado de Lima 15001, Peru",-12.0542514,-77.0195084,NA,NA,NA,NA,NA,0,19,37,49,55,55,49,36,22,10,4,0,1,0,0,0,0,0,NA,Tu
Mercado Canta Callao,Market,"Lima District 15109, Peru",-11.9835095,-77.0979738,NA,NA,NA,NA,0,2,2,13,36,52,57,52,44,42,34,23,10,0,0,0,0,0,NA,NA,Tu
Mercado Centro Cívico,Market,"Lima District 15101, Peru",-12.0282366,-77.0720097,NA,NA,NA,NA,0,1,1,8,22,35,42,41,33,22,11,3,1,0,0,0,0,0,NA,NA,Tu
Mercado Conde de la Vega,Market,"Jiron Acomayo, Av. Dos de Mayo 102, Cercado de Lima 15079, Peru",-12.03794,-77.0490996,NA,NA,NA,NA,NA,0,0,0,25,39,43,35,25,20,18,17,15,13,11,0,0,0,0,NA,Tu
Mercado Corpac,Market,"Av. Antunez de Mayolo, Distrito de Lima 15108, Peru",-12.0040721,-77.0942546,NA,NA,NA,NA,NA,0,0,0,36,56,63,53,40,39,45,43,27,0,0,0,0,0,0,NA,Tu
Mercado De Las Praderas,Market,"Yarquil 218, Cercado de Lima 15009, Peru",-12.0336931,-76.9626433,NA,NA,NA,NA,0,3,10,20,30,41,56,56,35,24,24,24,21,16,12,7,0,0,NA,NA,Tu
Mercado El Bosque,Market,"Av. Proceres de la Independencia 268, Cercado de Lima 15404, Peru",-12.0305244,-77.0128163,NA,NA,0,0,3,11,25,37,42,46,52,51,39,26,25,32,31,17,5,1,NA,NA,NA,NA,Tu
Mercado El Pino,Market,"Cnel. Lorenzo Iglesias Pino 104, Distrito de Lima 15054, Peru",-12.1622558,-76.9914288,NA,NA,NA,NA,NA,0,0,18,35,51,57,51,37,24,17,13,11,10,0,0,0,0,0,NA,Tu
Mercado Elio,Market,"Reynaldo Saavedra Pinón 2674, Cercado de Lima 15081, Peru",-12.054594700000001,-77.0711829,NA,NA,NA,NA,NA,0,0,0,26,33,36,36,36,33,33,30,30,26,0,0,0,0,0,NA,Tu
Mercado Familias Unidas,Market,"Ramon Rodriguez Lima, San Juan de Miraflores 15801, Peru",-12.1604042,-76.9650063,NA,NA,NA,NA,NA,0,0,34,55,59,60,56,36,19,12,10,8,0,0,0,0,0,0,NA,Tu
MERCADO FLORA TRISTAN,Market,"Flora Tristan 793-845, Cercado de Lima 15818, Peru",-12.1899311,-76.9224535,NA,NA,NA,NA,NA,0,16,28,40,52,60,56,48,40,32,28,24,0,0,0,0,0,0,NA,Tu
Mercado La Aurora,Market,"Avenida Emancipación 668 Jirón Cañete 473, Jirón Huancavelica 661, Cercado de Lima 15001, Peru",-12.0451873,-77.0390272,NA,NA,NA,NA,NA,0,18,35,50,60,65,69,66,55,44,42,45,44,32,0,0,0,0,NA,Tu
Mercado La Inmaculada,Market,"Av. Materiales 1973, Cercado de Lima 15081, Peru",-12.0410888,-77.0674417,NA,NA,NA,NA,0,14,22,21,28,39,41,32,22,17,16,16,16,14,11,0,0,0,NA,NA,Tu
Mercado La Merced,Market,"Jirón Pérez de Tudela, Cercado de Lima 15081, Peru",-12.0359805,-77.0663448,NA,NA,NA,NA,NA,0,15,26,32,28,21,17,16,14,9,6,10,0,0,0,0,0,0,NA,Tu
Mercado La Ponderosa,Market,"Av. Universitaria 524, Cercado de Lima 15086, Peru",-12.0850112,-77.0827117,NA,NA,NA,NA,NA,0,8,21,42,66,85,89,75,52,29,0,0,0,0,0,0,0,0,NA,Tu
Mercado Los Incas,Market,"Independencia 15332, Peru",-11.9802012,-77.0583666,NA,NA,NA,NA,NA,0,16,31,44,52,57,62,63,57,51,58,79,96,92,66,0,0,0,NA,Tu
Mercado Los Vencedores,Market,"de, Sta. Rosa de Lima 1813, San Juan de Lurigancho 15431, Peru",-11.9979722,-77.0003176,NA,NA,NA,NA,NA,0,13,27,41,45,41,34,25,18,12,9,7,6,4,0,0,0,0,NA,Tu
Mercado Mayorista De Frutas,Market,"Av Nicolás Arriola 4046, Cercado de Lima 15021, PeruLocated in: Wholesale Market Fruit No. 2",-12.0683307,-76.9975107,NA,NA,NA,0,15,24,31,35,36,35,33,31,27,22,16,12,8,0,0,0,0,NA,NA,NA,Tu
Mercado Moderno Los Cipreses,Market,"Mariano Arredondo 2777, Cercado de Lima 15081, Peru",-12.054395,-77.0782005,NA,NA,NA,NA,NA,0,0,30,56,59,43,37,38,38,31,22,0,0,0,0,0,0,0,NA,Tu
Mercado N°. 1 Tahuantinsuyo,Market,"Inca Roca 5, Distrito de Lima 15332, Peru",-11.9813587,-77.0531323,NA,NA,NA,NA,0,2,6,14,24,34,40,38,30,21,14,10,8,8,0,0,0,0,NA,NA,Tu
Mercado N°. 2 Surco,Market,"Jiron Franklin D. Roosevelt 898, Distrito de Lima 15063, PeruLocated in: Mercado Anexo N°. 2 Surco",-12.1464416,-77.0140783,NA,NA,NA,NA,NA,0,5,16,33,48,54,53,47,39,33,36,41,37,25,0,0,0,0,NA,Tu
Mercado Nuevo Horizonte,Market,"Av. José Carlos Mariátegui 883, Lima 15491, Peru",-12.0257175,-76.9120025,NA,NA,NA,NA,0,3,9,18,33,50,63,67,61,51,41,34,30,25,20,0,0,0,NA,NA,Tu
Mercado Palermo,Market,"avenida 15034, Av Palermo 525, Cercado de Lima, Peru",-12.0814303,-77.0229474,NA,NA,NA,NA,NA,0,12,21,31,41,43,38,30,25,22,20,18,13,0,0,0,0,0,NA,Tu
Mercado Pando,Market,"Lima District 15088, Peru",-12.0613848,-77.0779498,NA,NA,NA,NA,0,4,10,20,34,44,43,34,24,18,14,10,8,0,0,0,0,0,NA,NA,Tu
Mercado Paulet,Market,"Pedro Paulet 283-297, Cercado de Lima 15102, Peru",-12.0251758,-77.0536684,NA,NA,NA,NA,NA,0,0,25,43,62,74,72,60,43,30,21,15,0,0,0,0,0,0,NA,Tu
Mercado Primero de Mayo,Market,"Av. Alejandro Bertello 877, Cercado de Lima 15088, Peru",-12.0639763,-77.071373,NA,NA,NA,NA,NA,0,0,29,50,67,73,70,59,49,41,35,29,0,0,0,0,0,0,NA,Tu
